seriesuid,coordX,coordY,coordZ,diameter_mm,probability
1237405,198,309,137,11,0.450594514608
1257914,280,190,46,15,1.0
1421854,270,302,130,12,0.5
1707664,174,313,120,11,0.999045073986
1744175,265,268,93,29,0.984237492085
1897423,197,324,114,17,0.98741710186
2215459,220,302,125,9,0.00797427538782
2353955,233,281,106,11,0.994312405586
2354910,250,288,132,10,0.5
2549249,294,317,132,27,0.00156034529209
2549249,240,294,120,11,1.79243816092e-05
2569576,244,290,74,11,0.5
2584270,318,310,109,18,2.86341710307e-05
2715535,242,313,131,16,0.981549322605
3142208,221,295,80,11,0.999957084656
3227310,241,321,128,9,0.5
3229151,237,376,148,16,0.00226095714606
3236693,254,306,169,10,0.5
3265841,182,328,128,10,0.5
3298878,202,312,92,10,0.5
3454420,296,296,116,8,0.998953938484
3546015,348,312,132,10,0.996731162071
3546015,245,262,136,10,0.291861325502
3661864,306,313,106,16,0.997798979282
3761908,274,281,114,10,0.983574151993
3774951,257,305,134,16,0.999996423721
3871944,197,297,100,11,0.994350910187
3879577,242,313,90,11,0.999662876129
3951246,248,252,82,10,0.998713254929
3974227,298,313,117,30,0.5
3983578,250,297,110,11,0.5
3986111,196,320,128,10,0.999999642372
3986727,273,290,101,10,0.293985873461
3990677,266,305,97,28,0.5
3992839,282,301,100,17,1.37579259096e-09
3992839,284,285,94,10,4.07600992888e-12
4006226,245,306,121,15,0.996036589146
4012131,259,188,28,16,0.985635876656
4016984,266,274,97,10,0.5
4019393,248,313,121,16,0.5
4024967,305,276,109,11,0.97472089529
4031015,201,300,105,17,0.419493287802
4031015,350,306,116,10,0.394429177046
4034391,192,337,130,9,0.999909996986
4035923,330,324,134,11,0.999602258205
4036432,277,297,129,10,0.998950183392
4039067,242,281,117,28,0.5
4046080,227,280,120,16,0.99539989233
4050013,258,304,102,18,0.999086499214
4062455,248,289,120,17,0.999097704887
4073013,294,310,118,11,0.999999642372
4081167,250,316,94,23,0.982039391994
4091021,241,326,122,26,0.00167384534143
4101024,257,304,120,11,0.5
4102239,250,297,122,10,0.5
4111246,220,264,101,9,0.5
4111246,150,233,129,9,0.482348382473
4139785,252,304,130,17,0.997811615467
4149335,286,286,116,10,0.997044026852
4163946,252,325,116,20,0.00565432850271
4171396,250,305,68,22,0.996851503849
4186291,263,313,114,17,0.984233319759
4219498,270,330,141,9,0.5
4231205,273,270,94,11,0.995214223862
4238367,313,294,129,10,0.996585726738
4249928,288,305,81,9,0.5
4265628,269,292,122,11,0.987415850163
4268108,224,289,89,9,0.5
4268329,237,292,101,15,0.5
4281324,253,220,74,11,0.996040701866
4301153,238,297,90,10,0.5
4302328,265,318,134,16,0.998809218407
4305639,244,305,106,9,0.5
4316867,250,320,93,9,0.5
4321785,236,304,90,9,0.998715043068
4324836,229,265,94,16,0.998598277569
4340327,213,249,117,10,1.03199937485e-07
4347535,186,324,137,10,0.999817550182
4347535,184,318,149,9,0.5
4381514,249,325,106,12,0.0901004970074
4403238,312,280,112,10,0.995740294456
4405305,190,304,100,10,0.00101976655424
4407170,260,261,57,12,0.996168076992
4415516,270,316,108,9,3.29694471723e-09
4446804,292,296,121,16,0.5
4453781,224,290,89,11,0.999502658844
4468876,266,310,78,12,0.417522698641
4472037,241,308,93,9,0.999948740005
4481053,178,324,112,11,0.973969340324
4484231,249,316,116,10,0.5
4491273,189,302,126,11,0.985529363155
4502780,308,296,102,10,0.999127566814
4507077,261,306,125,15,0.999554693699
4539865,249,312,98,16,0.5
4544458,158,285,118,9,2.15703913065e-10
4559487,256,318,118,10,0.5
4561217,177,301,97,16,0.470955938101
4561217,327,302,103,18,0.516020536423
4564414,244,312,93,11,0.5
4596986,254,309,105,10,0.000137900176924
4608526,260,313,120,17,0.991653382778
4608755,280,309,76,10,0.999728500843
4613369,254,302,78,10,0.971302807331
4616054,293,292,105,16,0.5
4643210,228,318,136,10,0.999314069748
4643385,198,305,104,16,0.997646987438
4672550,245,305,136,11,0.449778735638
4885228,282,287,112,50,0.5
4894393,232,312,94,19,0.997797369957
4937195,228,304,117,10,0.997772872448
4971261,155,301,112,16,0.491593569517
4971261,242,257,120,11,0.5
833844,344,309,100,16,0.5
89848,282,300,105,9,0.999993681908
1237405,181,321,126,10,7.05492720954e-06
1237405,348,309,130,11,0.000527828466147
1237405,198,309,137,11,0.450594514608
1237405,180,153,90,9,1.15534921861e-05
1237405,176,181,129,9,0.000141173848533
1237405,318,248,122,10,1.32236079864e-08
1237405,329,180,124,10,0.000266334885964
1237405,257,285,117,9,1.62941859116e-07
1237405,349,221,73,28,6.32126528899e-08
1237405,157,404,21,10,0.000397891097236
1257914,328,413,55,20,2.7902166039e-05
1257914,406,242,62,9,4.01285888074e-06
1421854,201,176,140,9,7.9530702024e-09
1421854,260,257,108,9,0.0171241275966
1421854,220,310,33,9,3.60796366294e-05
1707664,230,90,121,33,0.000529195938725
1707664,249,362,136,10,0.00570587487891
1744175,366,142,89,9,5.17683832971e-32
1744175,352,290,140,9,2.56411863964e-10
1744175,272,410,30,10,0.999348700047
1744175,277,306,124,8,8.7642636204e-12
1744175,162,305,149,9,1.11254622424e-15
1897423,381,144,106,11,0.0104607352987
1897423,305,325,112,10,8.19517299533e-06
2215459,177,169,129,10,0.776132583618
2215459,309,173,117,11,0.000489184458274
2215459,188,165,136,9,0.000318076577969
2215459,237,302,154,9,7.01501375221e-20
2215459,169,400,73,9,8.81704739617e-19
2353955,212,152,129,10,8.41242763272e-06
2353955,325,150,132,9,9.58662712947e-05
2353955,298,215,59,19,6.38987046386e-07
2353955,133,174,76,21,0.000527191616129
2354910,302,253,92,9,5.06642436449e-06
2354910,310,321,112,10,3.2966404433e-06
2354910,256,208,127,9,2.1869844204e-05
2354910,429,290,69,9,4.48845275969e-05
2549249,237,224,77,8,0.000533997605089
2549249,217,94,85,33,3.36683037006e-08
2569576,185,317,85,9,0.00019348198839
2569576,317,254,92,10,0.00049843947636
2569576,186,326,89,8,1.10502752781e-12
2569576,181,420,52,20,0.000280911277514
2584270,208,274,110,11,0.00431936094537
2715535,181,333,121,10,0.0946418195963
2715535,241,201,120,21,1.52007787619e-05
2715535,314,206,114,9,5.7239754824e-05
2715535,173,184,132,10,9.3303553772e-10
2715535,236,281,61,17,0.00411010300741
2715535,136,143,76,18,0.022954557091
2715535,250,270,141,9,5.97965621463e-10
2715535,310,258,112,10,2.35306231389e-07
3142208,306,173,118,9,3.89979281507e-12
3142208,197,188,129,10,2.29037505051e-05
3142208,290,186,136,9,0.999877691269
3142208,229,128,45,10,0.0
3142208,282,210,53,10,4.60297560494e-05
3142208,241,103,85,21,4.40608318964e-23
3227310,213,301,112,9,7.05464435669e-06
3229151,308,177,128,9,3.34855968731e-07
3229151,333,146,77,9,1.93442240004e-08
3229151,229,321,104,9,1.01322052615e-06
3229151,200,176,128,9,5.68881811639e-15
3229151,289,233,45,12,5.78888684686e-05
3229151,337,270,21,32,4.71802935262e-12
3229151,177,334,96,9,0.000405880127801
3236693,321,413,17,16,3.03035552207e-09
3236693,318,169,125,9,0.0878992080688
3236693,237,150,60,27,0.000202707466087
3236693,248,293,61,11,2.89807789953e-17
3265841,266,382,49,9,0.5
3265841,244,316,118,9,2.90087167879e-20
3265841,138,265,17,8,0.00475248135626
3265841,344,338,137,9,1.77333885423e-12
3298878,330,129,80,9,4.41795294792e-10
3298878,173,166,86,16,0.00160545366816
3298878,213,306,84,9,1.74869615316e-11
3298878,280,301,69,10,0.0
3298878,335,230,25,19,0.000742994772736
3298878,202,312,92,10,0.5
3454420,160,312,116,10,6.45460017968e-20
3454420,228,313,109,9,8.33696650669e-14
3546015,245,262,136,10,0.291861325502
3546015,189,398,78,10,0.999983310699
3546015,193,328,56,9,9.3234311862e-06
3546015,348,312,132,10,0.996731162071
3661864,201,168,132,10,3.18737722847e-12
3661864,254,210,130,8,2.91031914617e-25
3661864,248,222,134,8,1.55086872837e-05
3661864,254,222,48,10,0.00833123084158
3761908,258,216,132,9,7.32397984393e-06
3761908,245,292,105,9,3.72786480504e-12
3761908,106,285,34,11,0.00284642749466
3761908,254,469,64,9,7.37567660281e-08
3774951,170,317,133,9,5.90216659475e-05
3774951,198,174,148,9,0.00149581057485
3774951,333,160,100,10,0.000868004455697
3774951,168,415,17,10,0.0
3774951,422,289,50,10,0.0016143595567
3774951,253,50,105,32,0.00384041061625
3774951,257,173,169,9,6.2034752335e-11
3871944,240,198,137,10,9.99375697575e-05
3871944,281,186,120,20,2.68288022198e-05
3871944,324,192,137,9,3.49757056028e-06
3871944,388,286,101,10,0.280790477991
3879577,321,197,132,10,9.91724009509e-05
3879577,292,292,129,9,1.1682029708e-06
3879577,408,296,25,9,0.947046160698
3879577,114,286,26,10,0.00065925886156
